location,month,day,year,sex,museum,species,assecion_number,from,cut
Mexico,3,9,1948,male,MVZ,Porzana carolina,http://arctos.database.museum/guid/MVZ:Bird:115378?seid=315612,vertnetFILE,
Mexico,9,7,1948,male,MVZ,Porzana carolina,http://arctos.database.museum/guid/MVZ:Bird:119322?seid=1387509,vertnetFILE,
Mexico,3,29,1961,female,MVZ,Porzana carolina,http://arctos.database.museum/guid/MVZ:Bird:142314?seid=1051663,vertnetFILE,
Mexico,4,6,1925,female,MVZ,Porzana carolina,http://arctos.database.museum/guid/MVZ:Bird:47201?seid=1618009,vertnetFILE,
Mexico,3,2,1928,male,MVZ,Porzana carolina,http://arctos.database.museum/guid/MVZ:Bird:52083?seid=493583,vertnetFILE,
Mexico,3,10,1928,male,MVZ,Porzana carolina,http://arctos.database.museum/guid/MVZ:Bird:52085?seid=1238482,vertnetFILE,
Mexico,8,22,1929,female,MVZ,Porzana carolina,http://arctos.database.museum/guid/MVZ:Bird:54850?seid=977037,vertnetFILE,
Mexico,8,7,1941,female,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:30875?seid=968009,vertnetFILE,
Mexico,1,25,1942,male,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:32511?seid=1676691,vertnetFILE,
Mexico,1,24,1945,female,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:41055?seid=1281882,vertnetFILE,
Mexico,9,24,1945,female,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:41510?seid=887893,vertnetFILE,
Mexico,10,23,1943,female,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:46823?seid=787037,vertnetFILE,
Mexico,2,17,1953,male,MLZ,Porzana carolina,http://arctos.database.museum/guid/MLZ:Bird:55017?seid=552780,vertnetFILE,
Mexico,3,20,1925,male,MVZ,Porzana carolina,http://arctos.database.museum/guid/MVZ:Bird:47200?seid=672982,vertnetFILE,
Mexico,4,28,1927,female,MVZ,Porzana carolina,http://arctos.database.museum/guid/MVZ:Bird:50744?seid=899999,vertnetFILE,
Mexico,10,18,1928,female,MVZ,Porzana carolina,http://arctos.database.museum/guid/MVZ:Bird:54849?seid=493567,vertnetFILE,
Mexico,NA,NA,NA,[male],ROM,Porzana carolina,URI:catalog:ROM:Birds:37386,vertnetFILE,
Mexico,8,15,1946,male,AMNH,Porzana carolina,,vertnetFILE,
Mexico,8,25,1946,,AMNH,Porzana carolina,,vertnetFILE,
Mexico,1,7,1893,male,AMNH,Porzana carolina,,vertnetFILE,
Mexico,9,3,1904,male,AMNH,Porzana carolina (Linn.),,vertnetFILE,
Mexico,5,29,1936,female,MCZ,Porzana carolina,MCZ:Orn:172756,vertnetFILE,
Mexico,8,11,1905,female,MCZ,Porzana carolina,MCZ:Orn:302848,vertnetFILE,
Mexico,9,1,1905,male,MCZ,Porzana carolina,MCZ:Orn:302849,vertnetFILE,
Mexico,1,22,1909,male,MCZ,Porzana carolina,MCZ:Orn:49834,vertnetFILE,
Mexico,12,3,1910,male,MCZ,Porzana carolina,MCZ:Orn:56917,vertnetFILE,
Mexico,12,1,1910,male,MCZ,Porzana carolina,MCZ:Orn:56918,vertnetFILE,
Mexico,11,5,1910,male,MCZ,Porzana carolina,MCZ:Orn:56919,vertnetFILE,
Mexico,12,6,1910,male,MCZ,Porzana carolina,MCZ:Orn:56920,vertnetFILE,
Mexico,12,8,1910,male,MCZ,Porzana carolina,MCZ:Orn:56921,vertnetFILE,
Mexico,11,27,1910,female,MCZ,Porzana carolina,MCZ:Orn:56923,vertnetFILE,
Mexico,11,13,1910,male,MCZ,Porzana carolina,MCZ:Orn:56927,vertnetFILE,
Mexico,11,15,1910,male,MCZ,Porzana carolina,MCZ:Orn:56929,vertnetFILE,
Mexico,11,30,1910,male,MCZ,Porzana carolina,MCZ:Orn:56930,vertnetFILE,
